date,timestamp,day_commit_count,sequence,track,language,content_type,path,message,task_title
2020-01-01,2020-01-01T11:37:12,3,1,python,python,data_cleaning,archive/python/2020/20200101_01_csv_deduplication_helper.py,add csv deduplication helper,csv deduplication helper
2020-01-01,2020-01-01T15:39:04,3,2,sql,sql,schema,archive/sql/2020/20200101_02_schema_for_experiment_metrics.sql,define experiment metrics schema,schema for experiment metrics
2020-01-01,2020-01-01T18:47:33,3,3,sql,sql,query,archive/sql/2020/20200101_03_slow_query_refactor.sql,refactor reporting query with ctes,slow query refactor
2020-01-02,2020-01-02T12:54:56,2,1,python,python,data_cleaning,archive/python/2020/20200102_01_csv_deduplication_helper.py,add csv deduplication helper,csv deduplication helper
2020-01-02,2020-01-02T17:22:15,2,2,typescript,typescript,api_client,archive/typescript/2020/20200102_02_typed_api_client.ts,build typed api client,typed api client
2020-01-03,2020-01-03T13:31:59,2,1,typescript,typescript,transform,archive/typescript/2020/20200103_01_normalise_payload_helper.ts,normalise event payloads,normalise payload helper
2020-01-03,2020-01-03T17:22:22,2,2,sql,sql,query,archive/sql/2020/20200103_02_windowed_churn_analysis.sql,model churn with sql windows,windowed churn analysis
2020-01-05,2020-01-05T11:34:21,3,1,sql,sql,schema,archive/sql/2020/20200105_01_schema_for_experiment_metrics.sql,define experiment metrics schema,schema for experiment metrics
2020-01-05,2020-01-05T15:29:03,3,2,python,python,data_cleaning,archive/python/2020/20200105_02_csv_deduplication_helper.py,add csv deduplication helper,csv deduplication helper
2020-01-05,2020-01-05T19:12:14,3,3,python,python,test,archive/python/2020/20200105_03_unit_tests_for_edge_cases.py,cover python edge cases,unit tests for edge cases
2020-01-06,2020-01-06T13:10:06,2,1,sql,sql,schema,archive/sql/2020/20200106_01_schema_for_experiment_metrics.sql,define experiment metrics schema,schema for experiment metrics
2020-01-06,2020-01-06T17:13:42,2,2,python,python,ml_utility,archive/python/2020/20200106_02_feature_scaling_utility.py,add feature scaling utility,feature scaling utility
2020-01-07,2020-01-07T11:34:46,4,1,sql,sql,query,archive/sql/2020/20200107_01_customer_cohort_retention.sql,write customer cohort retention query,customer cohort retention
2020-01-07,2020-01-07T13:42:46,4,2,sql,sql,query,archive/sql/2020/20200107_02_customer_cohort_retention.sql,write customer cohort retention query,customer cohort retention
2020-01-07,2020-01-07T17:05:09,4,3,sql,sql,schema,archive/sql/2020/20200107_03_schema_for_experiment_metrics.sql,define experiment metrics schema,schema for experiment metrics
2020-01-07,2020-01-07T19:15:30,4,4,python,python,parsing,archive/python/2020/20200107_04_log_parser_summary.py,summarise service logs with python,log parser summary
2020-01-08,2020-01-08T11:52:37,3,1,python,python,data_cleaning,archive/python/2020/20200108_01_csv_deduplication_helper.py,add csv deduplication helper,csv deduplication helper
